Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Label
276-54-0879,Cairo,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.508,3/12/2019,7:53:00 PM,Ewallet,390.96,4.761904762,19.548,6.4,Malo
257-60-7754,Alex,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,1/8/2019,5:12:00 PM,Cash,200.92,4.761904762,10.046,9,Malo
189-52-0236,Alex,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,3/14/2019,12:07:00 PM,Cash,696.85,4.761904762,34.8425,7.6,Malo
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,6:56:00 PM,Cash,101.9,4.761904762,5.095,6,Malo
493-65-6248,Giza,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,1/1/2019,7:48:00 PM,Credit card,369.8,4.761904762,18.49,7,Malo
477-59-2456,Giza,Naypyitaw,Normal,Female,Fashion accessories,45.44,7,15.904,333.984,1/23/2019,11:15:00 AM,Cash,318.08,4.761904762,15.904,9.2,Malo
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9,Malo
531-80-1784,Alex,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,191.247,3/28/2019,5:38:00 PM,Cash,182.14,4.761904762,9.107,5.1,Malo
263-12-5321,Alex,Yangon,Member,Male,Electronic accessories,92.6,7,32.41,680.61,2/27/2019,12:52:00 PM,Credit card,648.2,4.761904762,32.41,9.3,Malo
745-74-0715,Alex,Yangon,Normal,Male,Electronic accessories,58.03,2,5.803,121.863,3/10/2019,8:46:00 PM,Ewallet,116.06,4.761904762,5.803,8.8,Malo
448-61-3783,Alex,Yangon,Normal,Female,Electronic accessories,90.02,8,36.008,756.168,3/21/2019,4:08:00 PM,Credit card,720.16,4.761904762,36.008,4.5,Malo
254-31-0042,Alex,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,3/6/2019,12:46:00 PM,Credit card,193.5,4.761904762,9.675,7.8,Malo
416-17-9926,Alex,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,1/1/2019,2:42:00 PM,Credit card,742.2,4.761904762,37.11,4.3,Malo
380-60-5336,Alex,Yangon,Normal,Female,Electronic accessories,40.26,10,20.13,422.73,2/24/2019,6:06:00 PM,Credit card,402.6,4.761904762,20.13,5,Malo
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8,Malo
834-61-8124,Alex,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,1/26/2019,6:22:00 PM,Cash,361.83,4.761904762,18.0915,5.5,Malo
